gate_id,gate_group,requirement,current_status,evidence,next_action
O0,O0-O10,Current HEAD and worktree snapshot,historical-pass-current-paused,PROJECT_STATE.md records beta.91 RitsuLib-only package/runtime baseline and requires exact HEAD/worktree recapture for later governance/test follow-up commits; dirty files have no event-validation authority until exact-scope recapture,Refresh git status/log/diff in one controlled validation lane before handoff
O1,O0-O10,Full build has 0 errors and 0 warnings,historical-pass-current-paused,PROJECT_STATE.md records beta.91 build 0 errors / 0 warnings,Rerun build after any code/config change or before handoff
O2,O0-O10,Automated tests pass at current expected count,historical-pass-current-paused,PROJECT_STATE.md records current trusted split/focused lanes plus retained split coverage 475 / 0 / 21 / 496,Rerun non-overlapping test lanes after code/resource changes or before handoff
O3,O0-O10,Skipped tests explained,historical-pass-current-paused,PROJECT_STATE.md records skipped tests as release-artifact/runtime/local-source gating under the split strategy,Refresh skipped-test explanation with current test output before handoff
O4,O0-O10,Zero-warning proof preserved,historical-pass-current-paused,PROJECT_STATE.md records beta.91 zero-warning validation,Rerun build after any code/config change or before handoff
O5,O0-O10,Format validation clean,historical-pass-current-paused,PROJECT_STATE.md records beta.91 post-migration format passed,Rerun dotnet format after edits or before handoff
O6,O0-O10,Diff whitespace check clean,static-pass,git diff --check is static and rerun during coordination pause,Keep rerunning after edits
O7,O0-O10,Patch inventory current,historical-pass-current-paused,PROJECT_STATE.md records patch inventory passed for migration lane,Refresh patch inventory after coordination pause
O8,O0-O10,Worktree batch classification current,historical-pass-current-paused,PROJECT_STATE.md records batch classifier passed for migration lane,Refresh classifier after coordination pause
O9,O0-O10,Package and release-artifact validation current,historical-pass-current-paused,PROJECT_STATE.md records beta.91 package refresh and ZIP SHA ED86E18B23256CC5E4BF56B9E4BB168D213FBBB0F28F5C7C6FDBF8F64ABD1EB1,Refresh package/artifact lane after package/resource changes or before handoff
O10,O0-O10,Dirty worktree owner decision before commit or handoff,current-pending,Pause-safe doc/guard edits require exact-scope recapture before commit or handoff,Owner/agent must classify exact scope before commit or handoff
O11,O11-O20,Status board current and no generic Done,static-pass,docs/features/sts1-events/status-board.md plus current-doc checker,Keep current-doc checker passing
O12,O11-O20,Canonical matrix and Act mapping current at 52 / 54 baseline,static-pass,canonical-event-matrix.csv plus registry-shape checker; Act 1 maps to Overgrowth + Underdocks and AdditiveBatch1 remains 10 types / 14 calls,Keep registry-shape and act-mapping evidence passing
O13,O11-O20,Default Off gate source and retained Off runtime state guarded,previous-package-pass,beta.85 Off log plus feature-gate checker,Do not extend Off proof to enabled modes
O14,O11-O20,CanaryOnly source identity exact 4 event types / 6 calls,static-pass,registry-shape checker prints canary identity; current CanaryOnly runtime packet passed,Keep source identity aligned with runtime verifier expectations
O15,O11-O20,AdditiveBatch1 source identity exact 10 types / 14 calls,static-pass,registry-shape checker prints AdditiveBatch1 identity; beta.86 AdditiveBatch1 runtime proof now matches,Keep source identity aligned with runtime verifier expectations
O16,O11-O20,AdditiveAllDraft unsafe gate source guarded,static-pass,feature-gate checker,Keep unsafe-only gate
O17,O11-O20,ReplacementPrototype compile-symbol and unsafe gate source guarded,source-guarded,feature-gate checker,Runtime replacement proof still required
O18,O11-O20,Per-event spec registration notes current,static-pass,event-spec-registration-notes checker,Keep spec note checker passing
O19,O11-O20,Localization source-reference gap recorded,known-gap,localization-source-gap and localization-gap-baseline checkers,Close 33-key gap only in versioned resource pass
O20,O11-O20,Static StS1 suite aggregates source/doc checks,static-pass,check-sts1-event-static-suite.ps1,Rerun after every static edit
O21,O21-O29,Current v0.107.1 game path and dependency path recorded,current-pass,PROJECT_STATE.md and status-board runtime path report for v0.107.1 and beta.91 RitsuLib-only current proof,Refresh only if installed game/dependencies change
O22,O21-O29,STS2-RitsuLib v0.4.28 with lib/0.107.1 installed,current-pass,PROJECT_STATE.md and status-board O22,Refresh if RitsuLib changes
O23,O21-O29,Current beta.91 AdditiveBatch1 godot.log generated,current-pass,.tools/runtime-evidence/v01071-beta91-ritsulib0428-additivebatch1-direct-20260620/godot.log.current-iteration records v0.107.1 and v0.1.0-private-beta.91,Regenerate only after package/source changes require it
O24,O21-O29,Current beta.91 AdditiveBatch1 loader audit clean,current-pass,.tools/runtime-evidence/v01071-beta91-ritsulib0428-additivebatch1-direct-20260620/godot-log-audit.json; packet report .tools/runtime-evidence/v01071-beta91-ritsulib0428-additivebatch1-direct-20260620/runtime-evidence-packet-check.json checks=61 mismatches=0; enabled-mode verifier checks=31 mismatches=0; loader-registration only,Preserve as current RitsuLib-only AdditiveBatch1 loader proof only
O25,O21-O29,Retained v0.107 CanaryOnly enabled-mode smoke exact 4 event types / 6 calls,previous-package-pass,.tools/runtime-evidence/v01070-beta85-canary-20260617-233621/godot.log.after-launch; enabled-mode-log-check.json checks=20 mismatches=0; runtime-evidence-packet-check.json checks=45 mismatches=0,Preserve as beta.85 CanaryOnly loader proof only; gameplay rows remain separate
O26,O21-O29,Big Fish runtime screenshot/result proof,blocked,No current encounter screenshot or result log,Capture gameplay proof after coordination pause
O27,O21-O29,Golden Idol runtime screenshot/result proof,blocked,No current encounter screenshot or result log,Capture gameplay proof after coordination pause
O28,O21-O29,The Lab runtime screenshot/result proof,blocked,No current encounter screenshot or result log,Capture gameplay proof after coordination pause
O29,O21-O29,Divine Fountain runtime screenshot/result proof,blocked,No current encounter screenshot or result log,Capture gameplay proof after coordination pause
O30,O30-O41,Canary event code review remains current,static-pass,canary-source-api-proof.md and static source/docs,Refresh review if canary source changes
O31,O30-O41,Canary result logs for all four events,blocked,No current result logs,Capture result logs after coordination pause
O32,O30-O41,Canary pre/post state evidence,blocked,No current pre/post state evidence,Capture state evidence after coordination pause
O33,O30-O41,Current v0.107.1 AdditiveBatch1 enabled-mode smoke exact 10 types / 14 calls,current-pass,.tools/runtime-evidence/v01071-beta91-ritsulib0428-additivebatch1-direct-20260620 reached main menu and audited clean; enabled-mode verifier checks=31 mismatches=0; runtime-evidence-packet-check.json checks=61 mismatches=0; exact act/shared tuple parity including Sts1TheCleric in Overgrowth and Underdocks,Loader-registration proof only; gameplay/render/save-load rows remain separate
O34,O30-O41,Canary save/load proof,blocked,No save/load evidence,Capture save/reload proof after enabled-mode smoke
O35,O30-O41,Canary EN render proof,blocked,No current EN screenshot/render proof,Capture EN render screenshots
